Origin Name,Origin Coordinates,Destination Name,Destination Coordinates,Distance,Duration
Revenge of the Mummy,"1.2535651,103.8229439",Battlestar Galactica: Human,"1.2535619,103.8221343",94 m,1 min
Revenge of the Mummy,"1.2535651,103.8229439",Battlestar Galactica: Cylon,"1.2537711,103.8218861",129 m,1 min
Revenge of the Mummy,"1.2535651,103.8229439",Accelerator,"1.2538501,103.8217441",151 m,2 mins
Revenge of the Mummy,"1.2535651,103.8229439",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",256 m,3 mins
Revenge of the Mummy,"1.2535651,103.8229439",Canopy Flyer,"1.253856,103.8243884",188 m,2 mins
Revenge of the Mummy,"1.2535651,103.8229439",Dino-Soarin,"1.2535797,103.8243396",200 m,2 mins
Revenge of the Mummy,"1.2535651,103.8229439",Jurassic Park Rapids Adventure,"1.2532744,103.823845",225 m,3 mins
Revenge of the Mummy,"1.2535651,103.8229439",Shrek 4D,"1.2549965,103.8238626",267 m,3 mins
Revenge of the Mummy,"1.2535651,103.8229439",Enchanted Airways,"1.2549183,103.8235319",249 m,3 mins
Revenge of the Mummy,"1.2535651,103.8229439",Puss In Boots' Giant Journey,"1.2546338,103.8244392",264 m,3 mins
Revenge of the Mummy,"1.2535651,103.8229439",Magic Potion Spin,"1.2548351,103.8239722",211 m,2 mins
Revenge of the Mummy,"1.2535651,103.8229439",Treasure Hunters,"1.2537248,103.8233339",54 m,1 min
Revenge of the Mummy,"1.2535651,103.8229439","Lights, Camera, Action!","1.2547478,103.8215777",278 m,3 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Revenge of the Mummy,"1.2535651,103.8229439",93 m,1 min
Battlestar Galactica: Human,"1.2535619,103.8221343",Battlestar Galactica: Cylon,"1.2537711,103.8218861",35 m,1 min
Battlestar Galactica: Human,"1.2535619,103.8221343",Accelerator,"1.2538501,103.8217441",57 m,1 min
Battlestar Galactica: Human,"1.2535619,103.8221343",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",162 m,2 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Canopy Flyer,"1.253856,103.8243884",268 m,3 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Dino-Soarin,"1.2535797,103.8243396",280 m,3 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Jurassic Park Rapids Adventure,"1.2532744,103.823845",305 m,4 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Shrek 4D,"1.2549965,103.8238626",346 m,4 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Enchanted Airways,"1.2549183,103.8235319",328 m,4 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Puss In Boots' Giant Journey,"1.2546338,103.8244392",343 m,4 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Magic Potion Spin,"1.2548351,103.8239722",290 m,3 mins
Battlestar Galactica: Human,"1.2535619,103.8221343",Treasure Hunters,"1.2537248,103.8233339",133 m,1 min
Battlestar Galactica: Human,"1.2535619,103.8221343","Lights, Camera, Action!","1.2547478,103.8215777",184 m,2 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Revenge of the Mummy,"1.2535651,103.8229439",128 m,1 min
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Battlestar Galactica: Human,"1.2535619,103.8221343",35 m,1 min
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Accelerator,"1.2538501,103.8217441",22 m,1 min
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",127 m,1 min
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Canopy Flyer,"1.253856,103.8243884",303 m,4 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Dino-Soarin,"1.2535797,103.8243396",315 m,4 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Jurassic Park Rapids Adventure,"1.2532744,103.823845",340 m,4 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Shrek 4D,"1.2549965,103.8238626",381 m,5 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Enchanted Airways,"1.2549183,103.8235319",363 m,4 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Puss In Boots' Giant Journey,"1.2546338,103.8244392",378 m,5 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Magic Potion Spin,"1.2548351,103.8239722",325 m,4 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861",Treasure Hunters,"1.2537248,103.8233339",168 m,2 mins
Battlestar Galactica: Cylon,"1.2537711,103.8218861","Lights, Camera, Action!","1.2547478,103.8215777",149 m,1 min
Accelerator,"1.2538501,103.8217441",Revenge of the Mummy,"1.2535651,103.8229439",151 m,2 mins
Accelerator,"1.2538501,103.8217441",Battlestar Galactica: Human,"1.2535619,103.8221343",57 m,1 min
