helpfulVotes,id,reviewDate,publishedPlatform,rating,text,title,travelDate,tripType,username,userLocation,state,country,computed_sentiment
0,971639422,2024-09-27,MOBILE,5,"We opted for the VIP tour this visit. We weren't sure if it was going to be beneficial or not and WOW!!! we are so so pleased with our decision. We were greeted by extremely friendly staff in a private air-conditioned room with cold drinks. We got our water bottles and some other cool souvenirs to bring home. From here, our tour guide IZZZ took us around the park for 5 hours. It was incredible. He told us about all the attractions before we went on them, we got straight through all the lines including show lines and even had our own private air-conditioned room at the waterworld show. We all got $25 food and drink vouchers to spend and 10% off merchandise around the park. It was truly one amazing experience and 110% worth the money. I don't think we'll ever be able to enter the park as normal guests again after such an amazing experience",SO MUCH FUN!! VIP PACKAGE,2024-09-01,FAMILY,kirstylee88,"Brisbane, Australia",Brisbane,Australia,1
0,970932012,2024-09-22,OTHER,4,"Что сказать, в парке юниверсал я был в первые, но был в нескольких дисней парках. Общие впечатления неплохие, но атмосферы Голливуда мне не хватило. 

В целом, я шел туда с одной целью, посетить шоу по мотивам фильма Водный мир. Оно действительно достойное, проходит 2 раза в день, и я сходил оба раза,и совсем не пожалел. Спецэффекты, каскадеры, пиротехника, водные гонки, актерская игра, все присутствует, такого я еще не видел ни в одном парке. 

Пока между этими шоу было время, глянул один аттракцион, вроде его ставил Спилберг, называется свет, камера, мотор! Очень рекомендую, там ты просто стоишь и наблюдаешь за голливудскими декорациями и спецэффектами наяву.

На аттракционах в этот раз я решил не кататься, был всего один день на сентозе, и очень хотелось посмотреть многое другое, и везде успеть. В парке провел около 4х часов, немного успел погулять, декорации конечно в диснее поинтереснее. Вход стоил около 80 баксов, очереди на входе не было, что меня сильно удивило, но я пришел и не с открытия парка.",Водный мир,2024-03-01,SOLO,Юрий,"Vladivostok, Russia",Vladivostok,Russia,1
0,970806594,2024-09-22,MOBILE,4,"The place is extremely good, but there's long queue because of which you cannot experience all the attractions

The park opens at ten o'clock and there's very little time to get into all the rides",Good experience,2024-09-01,FAMILY,George J,"Kochi (Cochin), India",Kochi (Cochin),India,1
0,970343257,2024-09-18,MOBILE,4,"We had a really lovely day at Universal Studios Singapore.  It was fun and lots of rides open.  We invested in 'jump the queue' passes, which was well worth the cost as we did so much more, avoiding any lengthy waits.","Wonderful day out, a well needed change  to the many enjoyable cultural experiences.",2024-09-01,FAMILY,The Palmers,"San Francisco, California",San Francisco,California,1
0,970207042,2024-09-17,OTHER,1,"The staff in Singapore no active like Japan or USA  
And I try to contact customer service about my tickets  nobody answer or do anything 
*no costumer service *",Bad experience,2024-08-01,FAMILY,Nayafa H,,,,-1
0,970001063,2024-09-16,MOBILE,5,"I went with my younger siblings and we were all very satisfied with all the rides we tried. We bought our tickets online, so once we got there, we could go straight in without queuing. We arrived around 11am and managed to try a total of 7 rides. Around 3pm, we took a short break for lunch and enjoyed some delicious pizza. After that, we also got a free dinner of hotdogs and fries. The food was really good and completed our experience at this theme park. Overall, the experience at Universal Studios Singapore was great, and I definitely want to go back again.",Playing at Universal Studios Singapore was a blast!,2023-12-01,FAMILY,Ashley,"Jakarta, Indonesia",Jakarta,Indonesia,1
0,969930796,2024-09-15,MOBILE,2,"Download the App, you can see the wait times.  Within 10-15 mins of opening, all rides are at 80-90mins queues.  All the rides seem to be alternating general admission and express pass.  Rides are outdated and low capacity.","Outdated, long queue times, few rides.",2024-09-01,COUPLES,GBunton,,,,-1
0,969659816,2024-09-14,MOBILE,4,"Fantastic day out for the whole family, my kids age 11 and 7 loved all the rides, wait time was less than 10 minutes for all rides (we went in right on 10am open) and made sure we went on a weekday not on school holidays. Good mix of thrill rides for my 12 year old and us adults and good choices for slower rides for my little one. Waterworld show was fantastic and staff all very helpful",Great day out for the whole family and very short ride lines (on a Monday),2024-09-01,FAMILY,tara888,"Melton, Australia",Melton,Australia,1
0,969525266,2024-09-13,MOBILE,1,"People will still go because of it marketing and brand name, but honestly this theme park is a joke. Some rides last like 20 or 30 seconds… the park should be outlawed as illegal. Terrible food outlets… closes at 6pm. I guess for Instagram photos but wow… what a terrible park.",Shortest rides in the history of theme parks.,2024-09-01,FAMILY,john S,,,,-1
0,969417229,2024-09-12,MOBILE,4,"We booked this mostly for our kids (aged 8 and nearly 7) but I was surprised how much fun it was for us adults too. Being worried about the lines we coughed up extra for the express passes but really didn’t need to because when we arrived (at 10am as soon as it opened) we could get into everything without waiting. After lunch we started to use the express pass but if we hadn’t already bought it, that would have been fine, we just wouldn’t have repeated so many rides. We were there on a Wednesday so maybe it’s a mid-week thing that it wasn’t so busy. 
The kids loved the meet and greets too and the live shows.","Good fun, no need for express passes mid-week",2024-09-01,FAMILY,SallyStorey,"Adelaide, Australia",Adelaide,Australia,1
