name,coordinates,lat,long,type
Revenge of the Mummy,"1.2535651,103.8229439",1.2535651,103.8229439,ride
Battlestar Galactica: HUMAN,"1.2535619,103.8221343",1.2535619,103.8221343,ride
Battlestar Galactica: CYLON,"1.2537711,103.8218861",1.2537711,103.8218861,ride
Accelerator,"1.2538501,103.8217441",1.2538501,103.8217441,ride
TRANSFORMERS The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",1.2542193,103.8212299,ride
Canopy Flyer,"1.253856,103.8243884",1.253856,103.8243884,ride
Dino-Soarin,"1.2535797,103.8243396",1.2535797,103.8243396,ride
Jurassic Park Rapids Adventure,"1.2532744,103.823845",1.2532744,103.823845,ride
Shrek 4-D Adventure,"1.2549965,103.8238626",1.2549965,103.8238626,ride
Enchanted Airways,"1.2549183,103.8235319",1.2549183,103.8235319,ride
Puss In Boots' Giant Journey,"1.2546338,103.8244392",1.2546338,103.8244392,ride
Magic Potion Spin,"1.2548351,103.8239722",1.2548351,103.8239722,ride
Treasure Hunters,"1.2537248,103.8233339",1.2537248,103.8233339,ride
"Lights, Camera, Action! Hosted by Steven Spielberg","1.2547478,103.8215777",1.2547478,103.8215777,ride
Starbucks,"1.2558954,103.8218753",1.2558954,103.8218753,fnb
Mel's Drive-In,"1.2551853,103.8220906",1.2551853,103.8220906,fnb
Loui's NY Pizza Parlor,"1.2548131,103.8212735",1.2548131,103.8212735,fnb
StarBot Café,"1.2540555,103.821596",1.2540555,103.821596,fnb
Oasis Spice Café,"1.2538639,103.8225935",1.2538639,103.8225935,fnb
Discovery Food Court,"1.2541245,103.8235527",1.2541245,103.8235527,fnb
Fossil Fuel,"1.2537769,103.8238111",1.2537769,103.8238111,fnb
Goldilock,"1.2545676,103.8241208",1.2545676,103.8241208,fnb
Friar's Good Food,"1.2546406,103.8237395",1.2546406,103.8237395,fnb
