Origin Name,Destination Name,Duration,walktime
Revenge of the Mummy,Battlestar Galactica: HUMAN,1 min,1
Revenge of the Mummy,Battlestar Galactica: CYLON,1 min,1
Revenge of the Mummy,Accelerator,2 mins,2
Revenge of the Mummy,TRANSFORMERS The Ride: The Ultimate 3D Battle,3 mins,3
Revenge of the Mummy,Canopy Flyer,2 mins,2
Revenge of the Mummy,Dino-Soarin,2 mins,2
Revenge of the Mummy,Jurassic Park Rapids Adventure,3 mins,3
Revenge of the Mummy,Shrek 4-D Adventure,3 mins,3
Revenge of the Mummy,Enchanted Airways,3 mins,3
Revenge of the Mummy,Puss In Boots' Giant Journey,3 mins,3
Revenge of the Mummy,Magic Potion Spin,2 mins,2
Revenge of the Mummy,Treasure Hunters,1 min,1
Revenge of the Mummy,"Lights, Camera, Action! Hosted by Steven Spielberg",3 mins,3
Revenge of the Mummy,Starbucks,6 mins,6
Revenge of the Mummy,Mel's Drive-In,4 mins,4
Revenge of the Mummy,Loui's NY Pizza Parlor,10 mins,10
Revenge of the Mummy,StarBot Café,2 mins,2
Revenge of the Mummy,Oasis Spice Café,1 min,1
Revenge of the Mummy,Discovery Food Court,2 mins,2
Revenge of the Mummy,Fossil Fuel,2 mins,2
Revenge of the Mummy,Goldilock,3 mins,3
Revenge of the Mummy,Friar's Good Food,3 mins,3
Battlestar Galactica: HUMAN,Revenge of the Mummy,1 min,1
Battlestar Galactica: HUMAN,Battlestar Galactica: CYLON,1 min,1
Battlestar Galactica: HUMAN,Accelerator,1 min,1
Battlestar Galactica: HUMAN,TRANSFORMERS The Ride: The Ultimate 3D Battle,2 mins,2
Battlestar Galactica: HUMAN,Canopy Flyer,3 mins,3
Battlestar Galactica: HUMAN,Dino-Soarin,3 mins,3
Battlestar Galactica: HUMAN,Jurassic Park Rapids Adventure,4 mins,4
Battlestar Galactica: HUMAN,Shrek 4-D Adventure,4 mins,4
Battlestar Galactica: HUMAN,Enchanted Airways,4 mins,4
Battlestar Galactica: HUMAN,Puss In Boots' Giant Journey,4 mins,4
Battlestar Galactica: HUMAN,Magic Potion Spin,3 mins,3
Battlestar Galactica: HUMAN,Treasure Hunters,1 min,1
Battlestar Galactica: HUMAN,"Lights, Camera, Action! Hosted by Steven Spielberg",2 mins,2
Battlestar Galactica: HUMAN,Starbucks,4 mins,4
Battlestar Galactica: HUMAN,Mel's Drive-In,3 mins,3
Battlestar Galactica: HUMAN,Loui's NY Pizza Parlor,9 mins,9
Battlestar Galactica: HUMAN,StarBot Café,1 min,1
Battlestar Galactica: HUMAN,Oasis Spice Café,1 min,1
Battlestar Galactica: HUMAN,Discovery Food Court,3 mins,3
Battlestar Galactica: HUMAN,Fossil Fuel,3 mins,3
Battlestar Galactica: HUMAN,Goldilock,4 mins,4
Battlestar Galactica: HUMAN,Friar's Good Food,4 mins,4
Battlestar Galactica: CYLON,Revenge of the Mummy,1 min,1
Battlestar Galactica: CYLON,Battlestar Galactica: HUMAN,1 min,1
Battlestar Galactica: CYLON,Accelerator,1 min,1
Battlestar Galactica: CYLON,TRANSFORMERS The Ride: The Ultimate 3D Battle,1 min,1
Battlestar Galactica: CYLON,Canopy Flyer,4 mins,4
Battlestar Galactica: CYLON,Dino-Soarin,4 mins,4
Battlestar Galactica: CYLON,Jurassic Park Rapids Adventure,4 mins,4
Battlestar Galactica: CYLON,Shrek 4-D Adventure,5 mins,5
Battlestar Galactica: CYLON,Enchanted Airways,4 mins,4
Battlestar Galactica: CYLON,Puss In Boots' Giant Journey,5 mins,5
Battlestar Galactica: CYLON,Magic Potion Spin,4 mins,4
Battlestar Galactica: CYLON,Treasure Hunters,2 mins,2
Battlestar Galactica: CYLON,"Lights, Camera, Action! Hosted by Steven Spielberg",1 min,1
Battlestar Galactica: CYLON,Starbucks,4 mins,4
Battlestar Galactica: CYLON,Mel's Drive-In,2 mins,2
Battlestar Galactica: CYLON,Loui's NY Pizza Parlor,9 mins,9
Battlestar Galactica: CYLON,StarBot Café,1 min,1
Battlestar Galactica: CYLON,Oasis Spice Café,1 min,1
Battlestar Galactica: CYLON,Discovery Food Court,3 mins,3
Battlestar Galactica: CYLON,Fossil Fuel,3 mins,3
Battlestar Galactica: CYLON,Goldilock,4 mins,4
Battlestar Galactica: CYLON,Friar's Good Food,4 mins,4
Accelerator,Revenge of the Mummy,2 mins,2
Accelerator,Battlestar Galactica: HUMAN,1 min,1
Accelerator,Battlestar Galactica: CYLON,1 min,1
Accelerator,TRANSFORMERS The Ride: The Ultimate 3D Battle,1 min,1
Accelerator,Canopy Flyer,4 mins,4
Accelerator,Dino-Soarin,4 mins,4
Accelerator,Jurassic Park Rapids Adventure,4 mins,4
Accelerator,Shrek 4-D Adventure,5 mins,5
Accelerator,Enchanted Airways,5 mins,5
Accelerator,Puss In Boots' Giant Journey,5 mins,5
Accelerator,Magic Potion Spin,4 mins,4
Accelerator,Treasure Hunters,2 mins,2
Accelerator,"Lights, Camera, Action! Hosted by Steven Spielberg",1 min,1
Accelerator,Starbucks,4 mins,4
Accelerator,Mel's Drive-In,2 mins,2
Accelerator,Loui's NY Pizza Parlor,9 mins,9
Accelerator,StarBot Café,1 min,1
Accelerator,Oasis Spice Café,1 min,1
Accelerator,Discovery Food Court,4 mins,4
Accelerator,Fossil Fuel,3 mins,3
Accelerator,Goldilock,5 mins,5
Accelerator,Friar's Good Food,4 mins,4
TRANSFORMERS The Ride: The Ultimate 3D Battle,Revenge of the Mummy,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,Battlestar Galactica: HUMAN,2 mins,2
TRANSFORMERS The Ride: The Ultimate 3D Battle,Battlestar Galactica: CYLON,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Accelerator,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Canopy Flyer,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Dino-Soarin,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Jurassic Park Rapids Adventure,6 mins,6
TRANSFORMERS The Ride: The Ultimate 3D Battle,Shrek 4-D Adventure,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Enchanted Airways,4 mins,4
TRANSFORMERS The Ride: The Ultimate 3D Battle,Puss In Boots' Giant Journey,6 mins,6
TRANSFORMERS The Ride: The Ultimate 3D Battle,Magic Potion Spin,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Treasure Hunters,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,"Lights, Camera, Action! Hosted by Steven Spielberg",1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Starbucks,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,Mel's Drive-In,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Loui's NY Pizza Parlor,8 mins,8
TRANSFORMERS The Ride: The Ultimate 3D Battle,StarBot Café,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Oasis Spice Café,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,Discovery Food Court,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Fossil Fuel,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Goldilock,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Friar's Good Food,5 mins,5
Canopy Flyer,Revenge of the Mummy,2 mins,2
Canopy Flyer,Battlestar Galactica: HUMAN,3 mins,3
Canopy Flyer,Battlestar Galactica: CYLON,4 mins,4
Canopy Flyer,Accelerator,4 mins,4
Canopy Flyer,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Canopy Flyer,Dino-Soarin,1 min,1
Canopy Flyer,Jurassic Park Rapids Adventure,1 min,1
Canopy Flyer,Shrek 4-D Adventure,2 mins,2
Canopy Flyer,Enchanted Airways,2 mins,2
