helpfulVotes,id,reviewDate,publishedPlatform,rating,text,title,travelDate,tripType,username,userLocation,state,country,sentiment
0,971639422,27/9/24,MOBILE,5,"opted vip tour visit . n't sure going beneficial wow ! ! ! pleased decision . greeted extremely friendly staff private air-conditioned room cold drink . got water bottle cool souvenir bring home . , tour guide izzz took u around park 5 hour . incredible . told u attraction went , got straight line including show line even private air-conditioned room waterworld show . got $ 25 food drink voucher spend 10 % merchandise around park . truly one amazing experience 110 % worth money . n't think 'll ever able enter park normal guest amazing experience",SO MUCH FUN!! VIP PACKAGE,1/9/24,FAMILY,kirstylee88,"Brisbane, Australia",Brisbane,Australia,1
0,970932012,22/9/24,OTHER,4,"что сказать , в парке юниверсал я был в первые , но был в нескольких дисней парках . общие впечатления неплохие , но атмосферы голливуда мне не хватило . в целом , я шел туда с одной целью , посетить шоу по мотивам фильма водный мир . оно действительно достойное , проходит 2 раза в день , и я сходил оба раза , и совсем не пожалел . спецэффекты , каскадеры , пиротехника , водные гонки , актерская игра , все присутствует , такого я еще не видел ни в одном парке . пока между этими шоу было время , глянул один аттракцион , вроде его ставил спилберг , называется свет , камера , мотор ! очень рекомендую , там ты просто стоишь и наблюдаешь за голливудскими декорациями и спецэффектами наяву . на аттракционах в этот раз я решил не кататься , был всего один день на сентозе , и очень хотелось посмотреть многое другое , и везде успеть . в парке провел около 4х часов , немного успел погулять , декорации конечно в диснее поинтереснее . вход стоил около 80 баксов , очереди на входе не было , что меня сильно удивило , но я пришел и не с открытия парка .",Водный мир,1/3/24,SOLO,Юрий,"Vladivostok, Russia",Vladivostok,Russia,-1
0,970806594,22/9/24,MOBILE,4,"place extremely good , 's long queue experience attraction park open ten o'clock 's little time get ride",Good experience,1/9/24,FAMILY,George J,"Kochi (Cochin), India",Kochi (Cochin),India,1
0,970343257,18/9/24,MOBILE,4,"really lovely day universal studio singapore . fun lot ride open . invested 'jump queue ' pass , well worth cost much , avoiding lengthy wait .","Wonderful day out, a well needed change  to the many enjoyable cultural experiences.",1/9/24,FAMILY,The Palmers,"San Francisco, California",San Francisco,California,1
0,970207042,17/9/24,OTHER,1,staff singapore active like japan usa try contact customer service ticket nobody answer anything * costumer service *,Bad experience,1/8/24,FAMILY,Nayafa H,,,,1
0,970001063,16/9/24,MOBILE,5,"went younger sibling satisfied ride tried . bought ticket online , got , could go straight without queuing . arrived around 11am managed try total 7 ride . around 3pm , took short break lunch enjoyed delicious pizza . , also got free dinner hotdog fry . food really good completed experience theme park . overall , experience universal studio singapore great , definitely want go back .",Playing at Universal Studios Singapore was a blast!,1/12/23,FAMILY,Ashley,"Jakarta, Indonesia",Jakarta,Indonesia,1
0,969930796,15/9/24,MOBILE,2,"download app , see wait time . within 10-15 min opening , ride 80-90mins queue . ride seem alternating general admission express pas . ride outdated low capacity .","Outdated, long queue times, few rides.",1/9/24,COUPLES,GBunton,,,,-1
0,969659816,14/9/24,MOBILE,4,"fantastic day whole family , kid age 11 7 loved ride , wait time le 10 minute ride ( went right 10am open ) made sure went weekday school holiday . good mix thrill ride 12 year old u adult good choice slower ride little one . waterworld show fantastic staff helpful",Great day out for the whole family and very short ride lines (on a Monday),1/9/24,FAMILY,tara888,"Melton, Australia",Melton,Australia,1
0,969525266,13/9/24,MOBILE,1,"people still go marketing brand name , honestly theme park joke . ride last like 20 30 seconds… park outlawed illegal . terrible food outlets… close 6pm . guess instagram photo wow… terrible park .",Shortest rides in the history of theme parks.,1/9/24,FAMILY,john S,,,,1
0,969417229,12/9/24,MOBILE,4,"booked mostly kid ( aged 8 nearly 7 ) surprised much fun u adult . worried line coughed extra express pass really ’ need arrived ( 10am soon opened ) could get everything without waiting . lunch started use express pas ’ already bought , would fine , ’ repeated many ride . wednesday maybe ’ mid-week thing ’ busy . kid loved meet greets live show .","Good fun, no need for express passes mid-week",1/9/24,FAMILY,SallyStorey,"Adelaide, Australia",Adelaide,Australia,1
0,969362566,11/9/24,OTHER,1,"bought us e ticket online official website . however , receive email verification . credit card charged order . unable connect anyone us email sent responded . ?",Universal studios singapore - bad customer care,1/9/24,FAMILY,Sharon,Malaysia,,Malaysia,1
0,969120191,10/9/24,MOBILE,5,"park well-organized , thrilling ride , immersive themed zone , entertaining show . highlight include transformer ride , jurassic park , hollywood street performance . atmosphere vibrant energetic , plenty dining shopping option enjoy attraction . staff friendly helpful , adding overall experience . ’ must-visit anyone looking day adventure fun singapore !",Fun!,1/9/24,SOLO,Chin,"Singapore, Singapore",Singapore,Singapore,1
