Date,Time Slot,Accelerator,Battlestar Galactica: CYLON,Battlestar Galactica: HUMAN,Canopy Flyer,Dino-Soarin,Enchanted Airways,Jurassic Park Rapids Adventure,"Lights, Camera, Action! Hosted by Steven Spielberg",Magic Potion Spin,Puss In Boots’ Giant Journey,Revenge of the Mummy,Shrek 4-D Adventure,TRANSFORMERS The Ride: The Ultimate 3D Battle,Treasure Hunters
2023-01-02,10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,11:00:00,2.786458333333333,0.0,4.984375,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.875,5.25
2023-01-02,11:30:00,12.322916666666668,0.0,4.984375,0.0,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,72.375,20.0
2023-01-02,12:00:00,23.333333333333336,17.53125,36.609375,30.5625,15.0,10.0,0.0,19.983333333333334,0.0,30.0,0.0,0.0,85.125,39.75
2023-01-02,12:30:00,30.0,30.078125,63.65625,36.0,28.375,15.0,0.0,19.983333333333334,0.0,50.0,5.078125,20.016,96.5,40.0
2023-01-02,13:00:00,30.0,50.015625,63.65625,33.9375,40.0,15.0,22.666666666666668,19.983333333333334,0.0,40.0,17.46875,20.016,80.0,60.0
2023-01-02,13:30:00,30.0,40.25,63.65625,40.0,23.375,15.0,56.66666666666667,19.983333333333334,0.0,46.666666666666664,30.0625,20.016,60.0,40.0
2023-01-02,14:00:00,30.0,53.046875,63.65625,40.0,15.0,15.0,59.81481481481482,19.983333333333334,0.0,40.0,34.9375,20.016,60.0,40.0
2023-01-02,14:30:00,30.0,57.3125,63.65625,40.0,20.0,15.0,59.81481481481482,19.983333333333334,0.0,41.66666666666667,59.921875,20.016,55.0,40.0
2023-01-02,15:00:00,24.984375,60.484375,63.65625,36.0,45.0,15.0,69.8888888888889,19.983333333333334,0.0,50.0,59.921875,20.016,43.5,60.0
2023-01-02,15:30:00,20.015625,63.65625,63.65625,60.0,40.0,23.28125,79.96296296296296,19.983333333333334,0.0,50.0,55.40625,20.016,23.5,60.0
2023-01-02,16:00:00,20.015625,53.046875,63.65625,40.0,35.0,25.0,79.96296296296296,19.983333333333334,0.0,50.0,55.40625,20.016,10.0,60.0
2023-01-02,16:30:00,20.015625,49.078125,54.140625,40.0,60.0,25.0,64.85185185185186,19.983333333333334,0.0,50.0,43.09375,20.016,10.0,60.0
2023-01-02,17:00:00,20.015625,40.046875,9.96875,40.0,50.0,25.0,49.74074074074075,19.983333333333334,0.0,50.0,40.359375,20.016,10.0,40.0
2023-01-03,10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
